link,name,college,Rk,Year,Rd,Pk
/players/m/mottoha01.html,Hanno Mottola,University of Utah,40,2000,2,40
,Chris Carrawell,Duke University,41,2000,2,41
/players/o/oyedeol01.html,Olumide Oyedeji,,42,2000,2,42
/players/r/reddmi01.html,Michael Redd,Ohio State University,43,2000,2,43
/players/c/cardibr01.html,Brian Cardinal,Purdue University,44,2000,2,44
/players/s/smithja01.html,Jabari Smith,Louisiana State University,45,2000,2,45
,DeeAndre Hulett,College of the Sequoias,46,2000,2,46
,Josip Sesar,,47,2000,2,47
,Mark Karcher,Temple University,48,2000,2,48
/players/h/hartja01.html,Jason Hart,Syracuse University,49,2000,2,49
/players/d/dickeka01.html,Kaniel Dickens,University of Idaho,50,2000,2,50
/players/r/rakocig01.html,Igor Rakocevic,,51,2000,2,51
/players/b/browner01.html,Ernest Brown,Indian Hills Community College,52,2000,2,52
/players/m/mcclida01.html,Dan McClintock,Northern Arizona University,53,2000,2,53
,Cory Hightower,Indian Hills Community College,54,2000,2,54
/players/p/portech01.html,Chris Porter,Auburn University,55,2000,2,55
,Jaquay Walls,University of Colorado,56,2000,2,56
,Scoonie Penn,Ohio State University,57,2000,2,57
,Pete Mickeal,University of Cincinnati,58,2000,2,58
/players/b/brownkw01.html,Kwame Brown,,1,2001,1,1
/players/c/chandty01.html,Tyson Chandler,,2,2001,1,2
/players/g/gasolpa01.html,Pau Gasol,,3,2001,1,3
/players/c/curryed01.html,Eddy Curry,,4,2001,1,4
/players/r/richaja01.html,Jason Richardson,Michigan State University,5,2001,1,5
/players/b/battish01.html,Shane Battier,Duke University,6,2001,1,6
/players/g/griffed01.html,Eddie Griffin,Seton Hall University,7,2001,1,7
/players/d/diopde01.html,DeSagana Diop,,8,2001,1,8
/players/w/whitero02.html,Rodney White,University of North Carolina at Charlotte,9,2001,1,9
/players/j/johnsjo02.html,Joe Johnson,University of Arkansas,10,2001,1,10
/players/b/brownke01.html,Kedrick Brown,Okaloosa-Walton Community College,11,2001,1,11
/players/r/radmavl01.html,Vladimir Radmanovic,,12,2001,1,12
/players/j/jefferi01.html,Richard Jefferson,University of Arizona,13,2001,1,13
/players/m/murphtr01.html,Troy Murphy,University of Notre Dame,14,2001,1,14
/players/h/huntest01.html,Steven Hunter,DePaul University,15,2001,1,15
/players/h/hastoki01.html,Kirk Haston,Indiana University,16,2001,1,16
/players/b/bradlmi01.html,Michael Bradley,Villanova University,17,2001,1,17
/players/c/collija04.html,Jason Collins,Stanford University,18,2001,1,18
/players/r/randoza01.html,Zach Randolph,Michigan State University,19,2001,1,19
/players/h/haywobr01.html,Brendan Haywood,University of North Carolina,20,2001,1,20
/players/f/fortejo01.html,Joseph Forte,University of North Carolina,21,2001,1,21
/players/s/sasseje01.html,Jeryl Sasser,Southern Methodist University,22,2001,1,22
/players/a/armstbr01.html,Brandon Armstrong,Pepperdine University,23,2001,1,23
/players/l/lopezra01.html,Raul Lopez,,24,2001,1,24
/players/w/wallage01.html,Gerald Wallace,University of Alabama,25,2001,1,25
/players/d/dalemsa01.html,Samuel Dalembert,Seton Hall University,26,2001,1,26
/players/t/tinslja01.html,Jamaal Tinsley,Iowa State University,27,2001,1,27
/players/p/parketo01.html,Tony Parker,,28,2001,1,28
/players/h/hassetr01.html,Trenton Hassell,Austin Peay State University,29,2001,2,30
/players/a/arenagi01.html,Gilbert Arenas,University of Arizona,30,2001,2,31
/players/c/cookom01.html,Omar Cook,St. John's University,31,2001,2,32
/players/s/solomwi01.html,Will Solomon,Clemson University,32,2001,2,33
/players/m/morrite01.html,Terence Morris,University of Maryland,33,2001,2,34
/players/s/scalabr01.html,Brian Scalabrine,University of Southern California,34,2001,2,35
/players/t/trepaje01.html,Jeff Trepagnier,University of Southern California,35,2001,2,36
/players/b/brownda02.html,Damone Brown,Syracuse University,36,2001,2,37
/players/o/okurme01.html,Mehmet Okur,,37,2001,2,38
,Michael Wright,University of Arizona,38,2001,2,39
/players/w/watsoea01.html,Earl Watson,"University of California, Los Angeles",39,2001,2,40
/players/b/breweja01.html,Jamison Brewer,Auburn University,40,2001,2,41
/players/s/simmobo01.html,Bobby Simmons,DePaul University,41,2001,2,42
,Eric Chenowith,University of Kansas,42,2001,2,43
,Kyle Hill,Eastern Illinois University,43,2001,2,44
/players/l/lamplse01.html,Sean Lampley,University of California,44,2001,2,45
/players/w/woodslo01.html,Loren Woods,University of Arizona,45,2001,2,46
,Ousmane Cisse,,46,2001,2,47
/players/f/fotsian01.html,Antonis Fotsis,,47,2001,2,48
/players/j/johnske03.html,Ken Johnson,Ohio State University,48,2001,2,49
/players/b/boumtru01.html,Ruben Boumtje-Boumtje,Georgetown University,49,2001,2,50
/players/f/fordal02.html,Alton Ford,University of Houston,50,2001,2,51
,Andre Hutson,Michigan State University,51,2001,2,52
/players/c/collija03.html,Jarron Collins,Stanford University,52,2001,2,53
/players/s/satteke01.html,Kenny Satterfield,University of Cincinnati,53,2001,2,54
,Maurice Jeffers,Saint Louis University,54,2001,2,55
/players/j/javtoro01.html,Robertas Javtokas,,55,2001,2,56
/players/j/jonesal01.html,Alvin Jones,Georgia Institute of Technology,56,2001,2,57
,Bryan Bracey,University of Oregon,57,2001,2,58
/players/m/mingya01.html,Yao Ming,,1,2002,1,1
/players/w/willija03.html,Jay Williams,Duke University,2,2002,1,2
/players/d/dunlemi02.html,Mike Dunleavy,Duke University,3,2002,1,3
/players/g/goodedr01.html,Drew Gooden,University of Kansas,4,2002,1,4
/players/t/tskitni01.html,Nikoloz Tskitishvili,,5,2002,1,5
/players/w/wagneda02.html,Dajuan Wagner,University of Memphis,6,2002,1,6
/players/h/hilarne01.html,Nene Hilario,,7,2002,1,7
