name,link,rank,draft_year,draft_rd,draft_pk,college,recruit_year,bbrID,pick_overall,pick_number,pick_round,nba_median_vorp_rank,nba_mean_vorp_rank,nba_median_pipm_rank,nba_mean_pipm_rank,valid_seasons
Ronald Blackshear,https://www.sports-reference.com/cbb/players/ronald-blackshear-1.html,37,,,,Marshall University,1998,,,,,,,,,
Rasual Butler,/players/b/butlera01.html,37,2002,2,53,La Salle University,1998,butlera01,52,53,2,152.5,147.5,153.5,153,6
Tony Bland,https://www.sports-reference.com/cbb/players/tony-bland-1.html,39,,,,San Diego State University,1998,,,,,,,,,
Jeff Boschee,https://www.sports-reference.com/cbb/players/jeff-boschee-1.html,40,,,,University of Kansas,1998,,,,,,,,,
Travis Robinson,https://www.sports-reference.com/cbb/players/travis-robinson-1.html,41,,,,Jacksonville University,1998,,,,,,,,,
Tony Kitchings,https://www.sports-reference.com/cbb/players/tony-kitchings-1.html,42,,,,University of South Carolina,1998,,,,,,,,,
Ruben Douglas,https://www.sports-reference.com/cbb/players/ruben-douglas-1.html,43,,,,University of New Mexico,1998,,,,,,,,,
Paris London,https://www.sports-reference.com/cbb/players/paris-london-1.html,43,,,,Arkansas State University,1998,,,,,,,,,
Joey Range,https://www.sports-reference.com/cbb/players/joey-range-1.html,45,,,,University of Iowa,1998,,,,,,,,,
Fred Primus,https://www.sports-reference.com/cbb/players/fred-primus-1.html,46,,,,East Carolina University,1998,,,,,,,,,
Troy Murphy,/players/m/murphtr01.html,46,2001,1,14,University of Notre Dame,1998,murphtr01,14,14,1,100,88.42857142857143,127,118.28571428571429,7
Jose Winston,https://www.sports-reference.com/cbb/players/jose-winston-1.html,48,,,,University of Colorado,1998,,,,,,,,,
Sam Clancy,https://www.sports-reference.com/cbb/players/sam-clancy-1.html,49,,,,University of Southern California,1998,,,,,,,,,
Brandon Dean,https://www.sports-reference.com/cbb/players/brandon-dean-1.html,50,,,,University of Arkansas,1998,,,,,,,,,
Eugene Land,https://www.sports-reference.com/cbb/players/eugene-land-1.html,51,,,,University of Cincinnati,1998,,,,,,,,,
Chris Richardson,https://www.sports-reference.com/cbb/players/chris-richardson-1.html,52,,,,"University of Nevada, Las Vegas",1998,,,,,,,,,
Ladarius Halton,https://www.sports-reference.com/cbb/players/ladarius-halton-1.html,53,,,,University of Florida,1998,,,,,,,,,
Matt Barnes,/players/b/barnema02.html,54,2002,2,46,"University of California, Los Angeles",1998,barnema02,45,46,2,,,,,0
Fred Jones,/players/j/jonesfr01.html,54,2002,1,14,University of Oregon,1998,jonesfr01,14,14,1,126,118.5,157,152.5,4
Tony Akins,https://www.sports-reference.com/cbb/players/tony-akins-1.html,56,,,,Georgia Institute of Technology,1998,,,,,,,,,
Broderick Hicks,https://www.sports-reference.com/cbb/players/broderick-hicks-1.html,57,,,,Wake Forest University,1998,,,,,,,,,
Darius Songaila,/players/s/songada01.html,58,2002,2,50,Wake Forest University,1998,songada01,49,50,2,152,146,125,121.33333333333333,3
Kevin Braswell,https://www.sports-reference.com/cbb/players/kevin-braswell-1.html,59,,,,Georgetown University,1998,,,,,,,,,
De Angelo McDaniel,https://www.sports-reference.com/cbb/players/de-angelo-mcdaniel-1.html,60,,,,University of Tulsa,1998,,,,,,,,,
Desmond Allison,https://www.sports-reference.com/cbb/players/desmond-allison-1.html,61,,,,University of Kentucky,1998,,,,,,,,,
Clarence Gilbert,https://www.sports-reference.com/cbb/players/clarence-gilbert-1.html,62,,,,University of Missouri,1998,,,,,,,,,
D.A. Layne,https://www.sports-reference.com/cbb/players/da-layne-1.html,63,,,,University of Georgia,1998,,,,,,,,,
Keith Bean,https://www.sports-reference.com/cbb/players/keith-bean-1.html,64,,,,Texas A&M University,1998,,,,,,,,,
Bobby Smith,https://www.sports-reference.com/cbb/players/bobby-smith-2.html,64,,,,Villanova University,1998,,,,,,,,,
Ernest Brown,/players/b/browner01.html,66,2000,2,52,Indian Hills Community College,1998,browner01,52,52,2,,,,,0
Cedric Taylor,,67,1998,,,,1998,,50,50,2,,,,,
Rick Anderson,https://www.sports-reference.com/cbb/players/rick-anderson-1.html,67,,,,University of Arizona,1998,,,,,,,,,
